rank,country,index,iso3
119,Equatorial Guinea,0.619,GNQ
119,Senegal,0.619,SEN
121,Philippines,0.612,PHL
122,Honduras,0.61,HND
122,Libya,0.61,LBY
122,Namibia,0.61,NAM
125,Lesotho,0.605,LSO
126,Zimbabwe,0.604,ZWE
127,Angola,0.598,AGO
128,India,0.595,IND
128,Lebanon,0.595,LBN
128,Togo,0.595,TGO
131,Bangladesh,0.593,BGD
131,Gabon,0.593,GAB
132,Colombia,0.582,COL
134,Mozambique,0.58,MOZ
135,Gambia,0.575,GMB
136,Côte d'Ivoire,0.573,CIV
137,Guatemala,0.569,GTM
138,Benin,0.566,BEN
138,El Salvador,0.566,SLV
140,Iran,0.557,IRN
141,Zambia,0.556,ZMB
142,Mexico,0.551,MEX
143,Uganda,0.544,UGA
144,Sierra Leone,0.543,SLE
145,Guinea,0.539,GIN
146,Ethiopia,0.521,ETH
146,Malawi,0.521,MWI
148,Comoros,0.519,COM
149,Kenya,0.511,KEN
150,Congo,0.507,COG
151,Mauritania,0.506,MRT
152,Madagascar,0.505,MDG
153,Djibouti,0.504,DJI
154,Liberia,0.5,LBR
155,Papua New Guinea,0.487,PNG
156,Guinea-Bissau,0.483,GNB
156,Palestine ,0.483,PSE
158,Burkina Faso,0.481,BFA
158,Mali,0.481,MLI
158,Pakistan,0.481,PAK
161,Cameroon,0.466,CMR
162,Nigeria,0.465,NGA
163,Chad,0.462,TCD
164,Sudan,0.46,SDN
165,Myanmar,0.451,MMR
166,Niger,0.442,NER
167,Haiti,0.431,HTI
168,Iraq,0.424,IRQ
169,Somalia,0.417,SOM
170,Eswatini,0.415,SWZ
171,Syrian Arab Republic,0.407,SYR
172,Burundi,0.394,BDI
173,South Sudan,0.388,SSD
174,Democratic Republic of the Congo,0.384,COD
175,Central African Republic,0.378,CAF
176,Yemen,0.287,YEM
177,Afghanistan,0.286,AFG
