pc,year2,sector,real_annual,year
-0.823649999,2017-07-01,public,25784.4383,2017
0.568359953,2017-08-01,public,25806.31852,2017
-0.191893551,2017-09-01,public,25682.71311,2017
0.217595008,2017-10-01,public,25713.94358,2017
0.126819221,2017-11-01,public,25672.78144,2017
0.157323893,2017-12-01,public,25639.70466,2017
-0.032121348,2018-01-01,public,25754.10745,2018
0.342582608,2018-02-01,public,25743.7957,2018
-0.033246743,2018-03-01,public,25686.26386,2018
0.581190376,2018-04-01,public,25737.59527,2018
0.216932407,2018-05-01,public,25696.00285,2018
1.367059928,2018-06-01,public,26047.28261,2018
-0.322915465,2018-07-01,public,25963.1719,2018
1.702381761,2018-08-01,public,26256.40272,2018
-1.747039229,2018-09-01,public,25773.4926,2018
0.418623644,2018-10-01,public,25857.13031,2018
0.538285314,2018-11-01,public,25947.67875,2018
-0.083574406,2018-12-01,public,25877.57858,2018
-0.256612105,2019-01-01,public,25980.98393,2019
-0.169405675,2019-02-01,public,25839.82846,2019
0.971952058,2019-03-01,public,26042.21102,2019
2.085988715,2019-04-01,public,26437.2026,2019
-0.607600931,2019-05-01,public,26203.5118,2019
1.163483529,2019-06-01,public,26508.38534,2019
-0.260094094,2019-07-01,public,26414.95763,2019
-0.684971275,2019-08-01,public,26161.35234,2019
0.600759656,2019-09-01,public,26294.24011,2019
0.016239735,2019-10-01,public,26322.79325,2019
0.392495491,2019-11-01,public,26377.3973,2019
-0.029980546,2019-12-01,public,26369.48921,2019
-0.450481204,2020-01-01,public,26299.17737,2020
0.336180714,2020-02-01,public,26314.69623,2020
0.054484405,2020-03-01,public,26329.03364,2020
2.257479766,2020-04-01,public,26923.40625,2020
1.062064005,2020-05-01,public,27209.35005,2020
0.951699263,2020-06-01,public,27417.80804,2020
-1.327168909,2020-07-01,public,26954.82878,2020
-0.295897607,2020-08-01,public,26973.87549,2020
2.199350149,2020-09-01,public,27466.14698,2020
-0.535271909,2020-10-01,public,27319.12841,2020
0.815876252,2020-11-01,public,27567.26344,2020
-0.567110893,2020-12-01,public,27335.75941,2020
0.323277442,2021-01-01,public,27449.22045,2021
0.905989955,2021-02-01,public,27672.58961,2021
0.108034976,2021-03-01,public,27626.72684,2021
0.042507597,2021-04-01,public,27463.22637,2021
0.113045228,2021-05-01,public,27345.65455,2021
0.313308919,2021-06-01,public,27332.83423,2021
-0.867680648,2021-07-01,public,27095.67251,2021
-0.201956131,2021-08-01,public,26872.09596,2021
0.9255167,2021-09-01,public,27048.41522,2021
0.105800228,2021-10-01,public,26838.25796,2021
0.524467117,2021-11-01,public,26813.50037,2021
0.353859927,2021-12-01,public,26771.82517,2021
-0.082849298,2022-01-01,public,26768.78514,2022
0.211479385,2022-02-01,public,26639.43099,2022
1.773553102,2022-03-01,public,26855.9033,2022
-1.45993842,2022-04-01,public,25907.86096,2022
-0.030464367,2022-05-01,public,25748.5065,2022
1.092917369,2022-06-01,public,25857.10367,2022
-0.900173037,2022-07-01,public,25476.3496,2022
0.161876033,2022-08-01,public,25391.8873,2022
5.765471408,2022-09-01,public,26746.05433,2022
-2.988122842,2022-10-01,public,25529.36185,2022
5.406417178,2022-11-01,public,26801.77482,2022
-0.530461785,2022-12-01,public,26553.21856,2022
-2.511347258,2023-01-01,public,25990.08647,2023
0.995077982,2023-02-01,public,25998.7204,2023
-0.366475122,2023-03-01,public,25740.0129,2023
0.783646185,2023-04-01,public,25638.4298,2023
-0.331142724,2023-05-01,public,25395.18126,2023
15.7467623,2023-06-01,public,29325.95302,2023
-9.891389436,2023-07-01,public,26507.14743,2023
-2.679242817,2023-08-01,public,25717.21329,2023
2.209864767,2023-09-01,public,26144.10026,2023
-0.570379753,2023-10-01,public,25975.01418,2023
3.915482426,2023-11-01,public,27033.58754,2023
1.025009219,2023-12-01,public,27206.04567,2023
-2.926491599,2024-01-01,public,26511.43943,2024
-0.063889355,2024-02-01,public,26332.45556,2024
0.546196343,2024-03-01,public,26315.33242,2024
-0.085463592,2024-04-01,public,26173.51028,2024
0.903801467,2024-05-01,public,26310.55643,2024
