code,region,year,value,rebased_value
EA,Euro area,2018,110.10932,137.95463709395722
EA,Euro area,2019,113.6688393,142.4143158319645
EA,Euro area,2020,118.9410022,149.01974505057854
EA,Euro area,2021,125.4462786,157.1701272794206
EA,Euro area,2022,125.8467384,157.67185852596467
EA,Euro area,2023,117.1971223,146.8348589869833
CAN,Canada,1990,51.72400745,100.0
CAN,Canada,1991,51.63921288,99.83606341778145
CAN,Canada,1992,51.53151064,99.62783856183981
CAN,Canada,1993,51.50008018,99.56707285255021
CAN,Canada,1994,52.54611558,101.58941306083969
CAN,Canada,1995,49.60268165,95.89875977407469
CAN,Canada,1996,48.84751638,94.43876990238891
CAN,Canada,1997,49.3632906,95.43593590987311
CAN,Canada,1998,48.0443434,92.88596489056457
CAN,Canada,1999,48.77445444,94.29751646205827
CAN,Canada,2000,49.79868328,96.27769721466157
CAN,Canada,2001,51.08484798,98.76428857408649
CAN,Canada,2002,54.10359992,104.60055704751856
CAN,Canada,2003,57.63689819,111.43161760177959
CAN,Canada,2004,61.34328894,118.59732446156393
CAN,Canada,2005,65.11733585,125.89383356064768
CAN,Canada,2006,71.49325537,138.2206423953332
CAN,Canada,2007,78.43111869,151.63387865067673
CAN,Canada,2008,81.14554788,156.88178832322862
CAN,Canada,2009,79.66889189,154.0269128740913
CAN,Canada,2010,85.66805768,165.62532932664325
CAN,Canada,2011,88.44009591,170.9846167574937
CAN,Canada,2012,91.46301802,176.8289475799308
CAN,Canada,2013,92.79124128,179.39685236047964
CAN,Canada,2014,95.86239754,185.33443610815968
CAN,Canada,2015,100.0,193.33382104367476
CAN,Canada,2016,109.0763003,210.88137922306328
CAN,Canada,2017,120.423605,232.81955698504174
CAN,Canada,2018,122.8547814,237.5198432154738
CAN,Canada,2019,122.6651484,237.15321849061408
CAN,Canada,2020,129.6785242,250.71244590890646
CAN,Canada,2021,144.5860259,279.53368856766724
CAN,Canada,2022,152.5389038,294.9092912946752
CAN,Canada,2023,144.088315,278.57144506694635
DEU,Germany,1990,104.3891623,100.0
DEU,Germany,1991,105.9933543,101.53674190371389
DEU,Germany,1992,107.1786073,102.67215957915585
DEU,Germany,1993,108.0453496,103.50245870303338
DEU,Germany,1994,110.1113726,105.48161339158482
DEU,Germany,1995,110.2633213,105.62717323386357
DEU,Germany,1996,108.0781571,103.53388677399128
DEU,Germany,1997,105.00333,100.58834431321037
DEU,Germany,1998,103.7624591,99.39964725629378
DEU,Germany,1999,103.2248382,98.88463124490463
DEU,Germany,2000,102.7446623,98.42464489247081
DEU,Germany,2001,100.7062683,96.47195751086127
DEU,Germany,2002,98.12865087,94.00271896807817
DEU,Germany,2003,97.07392458,92.99233985710411
DEU,Germany,2004,94.52081621,90.54657986272585
DEU,Germany,2005,94.66740482,90.68700498614885
DEU,Germany,2006,93.0985732,89.18413669461931
DEU,Germany,2007,89.4327756,85.67247176769422
DEU,Germany,2008,88.90432014,85.16623582484674
DEU,Germany,2009,89.56830573,85.80230337761797
DEU,Germany,2010,89.01811998,85.27525081978744
DEU,Germany,2011,90.51889133,86.71292051358861
DEU,Germany,2012,92.34383045,88.46112797094456
DEU,Germany,2013,93.95022181,89.99997676003959
DEU,Germany,2014,96.02596956,91.9884473103009
DEU,Germany,2015,100.0,95.79538507322613
DEU,Germany,2016,106.7711494,102.28183371483956
DEU,Germany,2017,111.6199461,106.92675718502247
DEU,Germany,2018,117.3019958,112.36989857518955
DEU,Germany,2019,122.4756255,117.32599706856735
DEU,Germany,2020,131.2015212,125.68500245547042
DEU,Germany,2021,142.2157642,136.23613895022126
DEU,Germany,2022,140.4980443,134.59064255753685
DEU,Germany,2023,120.90781,115.82410217310462
GBR,United Kingdom,1990,49.85382439,100.0
GBR,United Kingdom,1991,45.10888015,90.48228636808098
GBR,United Kingdom,1992,41.83561708,83.9165652623265
GBR,United Kingdom,1993,40.24702804,80.73007142872875
GBR,United Kingdom,1994,40.66265999,81.56377266446259
GBR,United Kingdom,1995,39.70857902,79.65001583301803
GBR,United Kingdom,1996,39.75430573,79.74173740214437
GBR,United Kingdom,1997,42.44994334,85.14882029494788
GBR,United Kingdom,1998,46.66454552,93.60273979173456
GBR,United Kingdom,1999,51.37748611,103.0562584488616
GBR,United Kingdom,2000,58.89000032,118.12534151705427
GBR,United Kingdom,2001,63.11106437,126.59222264733461
GBR,United Kingdom,2002,72.70681182,145.83998862599597
GBR,United Kingdom,2003,82.9638554,166.4142248165046
GBR,United Kingdom,2004,91.04858434,182.63109290821652
GBR,United Kingdom,2005,95.49338705,191.54676339966943
GBR,United Kingdom,2006,99.8514069,200.28835926181992
GBR,United Kingdom,2007,108.090325,216.81450986472655
GBR,United Kingdom,2008,99.2961588,199.17460699347563
GBR,United Kingdom,2009,89.54283575,179.6107657649652
GBR,United Kingdom,2010,93.76249059,188.07482021140083
GBR,United Kingdom,2011,88.94414555,178.4098745448323
GBR,United Kingdom,2012,87.81343111,176.14181496498026
GBR,United Kingdom,2013,88.09899066,176.7146086342605
GBR,United Kingdom,2014,94.0099826,188.57125556621716
GBR,United Kingdom,2015,100.0,200.58641683677658
GBR,United Kingdom,2016,105.6583003,211.9361986624112
GBR,United Kingdom,2017,108.4799176,217.5959797013278
GBR,United Kingdom,2018,109.7419953,220.12753613745377
GBR,United Kingdom,2019,109.1386798,218.91736719378292
GBR,United Kingdom,2020,111.5702537,223.79477415253115
GBR,United Kingdom,2021,118.0358713,236.76392482273917
GBR,United Kingdom,2022,119.7155956,240.13322360884578
GBR,United Kingdom,2023,112.4490546,225.5575293889705
ITA,Italy,1990,112.1364272,100.0
ITA,Italy,1991,116.5961727,103.97707115462656
ITA,Italy,1992,117.7373658,104.99475392595707
ITA,Italy,1993,112.0332919,99.9080269430949
ITA,Italy,1994,103.5708817,92.36149597960438
ITA,Italy,1995,98.38870283,87.7401797852179
ITA,Italy,1996,91.39485476,81.50326975996254
ITA,Italy,1997,85.47941532,76.22805314417937
ITA,Italy,1998,85.63974444,76.37102998409067
ITA,Italy,1999,88.93156058,79.30657574936541
ITA,Italy,2000,93.38390839,83.27704985949472
ITA,Italy,2001,98.52193097,87.85898876043377
ITA,Italy,2002,104.8771873,93.52642126982266
ITA,Italy,2003,112.2280633,100.08171840523916
ITA,Italy,2004,120.4457891,107.41004694681409
ITA,Italy,2005,126.9981358,113.25323890825727
ITA,Italy,2006,131.6334124,117.38684358582809
ITA,Italy,2007,135.3885521,120.73556780842398
ITA,Italy,2008,133.4094202,118.97063561875281
ITA,Italy,2009,129.2394342,115.25196354748853
ITA,Italy,2010,126.6322862,112.92698488970585
ITA,Italy,2011,124.706006,111.20918430688151
ITA,Italy,2012,118.4265804,105.60937543406948
ITA,Italy,2013,109.5368304,97.68175528246186
ITA,Italy,2014,104.1095429,92.84185835020075
ITA,Italy,2015,100.0,89.17708767521711
ITA,Italy,2016,100.141834,89.30357110575038
ITA,Italy,2017,98.01873296,87.41025142987611
ITA,Italy,2018,96.55677112,86.1065164380411
ITA,Italy,2019,95.89119227,85.5129726034289
ITA,Italy,2020,97.59849383,87.03549441247046
ITA,Italy,2021,98.53082975,87.8669244332764
ITA,Italy,2022,95.09879722,84.80633777495632
ITA,Italy,2023,91.46560428,81.56636212144272
JPN,Japan,1990,163.8655677,100.0
JPN,Japan,1991,166.3079057,101.49045222512598
JPN,Japan,1992,157.2313698,95.95143873535062
JPN,Japan,1993,148.9420619,90.89283611593041
JPN,Japan,1994,144.7174083,88.31471451338949
JPN,Japan,1995,142.8822675,87.19480822327752
JPN,Japan,1996,140.0533637,85.46845177164086
JPN,Japan,1997,136.4139973,83.24750538791804
JPN,Japan,1998,133.9881895,81.76714082198245
JPN,Japan,1999,130.5624121,79.6765384775828
JPN,Japan,2000,126.8378481,77.40359971913733
JPN,Japan,2001,122.8838178,74.99062769853633
JPN,Japan,2002,118.0509174,72.04131963593716
JPN,Japan,2003,111.8930271,68.28342809933706
JPN,Japan,2004,105.6901326,64.49807246479882
JPN,Japan,2005,101.3490543,61.84890195208471
JPN,Japan,2006,98.34574081,60.01611088306746
JPN,Japan,2007,97.69629637,59.61978330240758
JPN,Japan,2008,97.51956829,59.511933872853504
JPN,Japan,2009,93.84968298,57.27236313111067
JPN,Japan,2010,96.64014107,58.97525784484863
JPN,Japan,2011,97.17425716,59.30120556986298
JPN,Japan,2012,96.91181131,59.14104632855094
JPN,Japan,2013,98.65590053,60.205387815588054
JPN,Japan,2014,98.19790152,59.92589102048434
JPN,Japan,2015,100.0,61.02563302564996
JPN,Japan,2016,102.5577027,62.58648728923909
JPN,Japan,2017,104.7595382,63.93017134129758
JPN,Japan,2018,106.0524005,64.71914874402258
JPN,Japan,2019,107.2560611,65.45369024465289
JPN,Japan,2020,106.993155,65.29325013286486
JPN,Japan,2021,112.6867234,68.76778629071323
JPN,Japan,2022,118.6507353,72.40736230641332
JPN,Japan,2023,118.6829846,72.42704264588465
ESP,Spain,1990,77.92619345,100.0
ESP,Spain,1991,83.40173208,107.02657012691539
ESP,Spain,1992,77.74903531,99.77265906089244
ESP,Spain,1993,73.60567732,94.45563046426464
ESP,Spain,1994,71.25287229,91.43635680821261
ESP,Spain,1995,70.34061558,90.26568919362505
ESP,Spain,1996,70.17850478,90.05765798765574
ESP,Spain,1997,71.19585652,91.36319043439688
ESP,Spain,1998,73.44197488,94.24555676150507
ESP,Spain,1999,76.929693,98.72122529552352
ESP,Spain,2000,79.40471837,101.89734010419573
ESP,Spain,2001,83.95271065,107.73362194814098
ESP,Spain,2002,95.58993869,122.66727586448019
ESP,Spain,2003,111.1126084,142.5869832475437
ESP,Spain,2004,127.022853,163.00405213749087
ESP,Spain,2005,140.8840462,180.79164394241306
ESP,Spain,2006,154.591492,198.38193700452075
ESP,Spain,2007,164.2459483,210.77116824060656
ESP,Spain,2008,156.2976063,200.5713347210854
ESP,Spain,2009,147.3703411,189.1152827765899
ESP,Spain,2010,141.9639769,182.17748181308093
ESP,Spain,2011,128.1015379,164.3882913159285
ESP,Spain,2012,106.9943684,137.30218770233026
ESP,Spain,2013,96.27920031,123.55178156081226
ESP,Spain,2014,96.45478176,123.77709918794963
ESP,Spain,2015,100.0,128.32655564545607
ESP,Spain,2016,104.4501744,134.0373111731919
ESP,Spain,2017,109.2462477,140.19194684531328
ESP,Spain,2018,114.9442646,147.50401567317928
ESP,Spain,2019,119.6313206,153.51875319915297
ESP,Spain,2020,122.232354,156.85656977256087
ESP,Spain,2021,123.8953485,158.9906333349842
ESP,Spain,2022,124.8735556,160.24593281349354
ESP,Spain,2023,124.6445647,159.95207667878202
