Region,code,authority,2015,2016,2017,2018,2019,2020,2021
East of England,E07000069,Castle Point,19.2,20.3,21.5,15.4,11.3,10.4,12.6
East of England,E07000070,Chelmsford,10.7,14.1,12,12.1,7.6,17.3,7.3
East of England,E07000071,Colchester,19.8,8.9,16,14.7,11,15.5,12.7
East of England,E07000072,Epping Forest,22.1,8.5,7.8,13.8,13.2,13.2,14.4
East of England,E07000073,Harlow,22.9,21.4,14.8,20.6,18.6,14.9,20.5
East of England,E07000074,Maldon,18.1,8.1,5.3,15.3,16.5,8.8,14.5
East of England,E07000075,Rochford,12.5,19,11,9.4,5.5,11.6,8.5
East of England,E07000076,Tendring,19.3,18.1,16.7,14.7,13.4,15.6,15.2
East of England,E07000077,Uttlesford,10.7,6.4,12.3,10.6,13,13.4,8.1
East of England,E07000095,Broxbourne,16.2,16.5,20.5,18.2,13,16.7,13.5
East of England,E07000096,Dacorum,19,11,9.1,14.3,11.4,14.7,14.3
East of England,E07000098,Hertsmere,16,16.3,17.7,11.1,9.4,13.8,13.9
East of England,E07000099,North Hertfordshire,14.2,8.1,10.9,8.8,9.4,12.9,9.5
East of England,E07000102,Three Rivers,13.8,18.5,11.8,14.7,12.3,6.7,11
East of England,E07000103,Watford,12.5,9,13.3,7.4,18.6,16.5,9.4
East of England,E07000143,Breckland,15.8,11.9,17.6,16.1,12.7,14.8,15.1
East of England,E07000144,Broadland,12.8,8.2,9.4,7.4,12.8,10.3,14.9
East of England,E07000145,Great Yarmouth,24.1,15.7,15.1,20.6,23.4,18.9,13.8
East of England,E07000146,King's Lynn and West Norfolk,17.5,15.5,15.5,16.4,14.7,14.4,19.3
East of England,E07000147,North Norfolk,12.3,8.5,10.5,13.2,13.1,14.5,13.2
East of England,E07000148,Norwich,18.9,21.4,16.1,19.2,12.9,16.7,20.2
East of England,E07000149,South Norfolk,10.3,11.7,11.4,8.6,13.9,14.1,11.9
East of England,E07000200,Babergh,17.2,8.6,7.3,9.3,10.5,13.8,9.8
East of England,E07000202,Ipswich,18.3,19.8,20,17.1,20.7,18.9,22
East of England,E07000203,Mid Suffolk,11.6,11,7.4,8.3,12,8.2,11.7
East of England,E07000240,St Albans,8.6,8.7,10.1,11,4.1,6.7,8.3
