Region,code,authority,2015,2016,2017,2018,2019,2020,2021
Scotland,S12000026,Scottish Borders,18,18.5,15.9,14.1,13.8,14.2,10.9
Scotland,S12000027,Shetland Islands,15.8,19.1,12.7,15.1,9.4,7.2,9.3
Scotland,S12000028,South Ayrshire,17.1,15.5,15.4,15.4,12.3,14,15.8
Scotland,S12000029,South Lanarkshire,17.7,19.1,17.9,16.2,14.3,16.4,14.3
Scotland,S12000030,Stirling,18.3,14.2,12.8,12.4,13.9,9.5,7.8
Scotland,S12000033,Aberdeen City,21.2,13.8,16.5,16.7,15.8,16,11.9
Scotland,S12000034,Aberdeenshire,14.8,10.5,15.1,11.5,12,15.5,9.9
Scotland,S12000035,Argyll and Bute,15.2,14.5,14.9,15.1,12.6,11.5,13.2
Scotland,S12000036,City of Edinburgh,16.2,15.9,12,15.6,13.5,13,9.7
Scotland,S12000038,Renfrewshire,19.8,18.6,16.1,18.7,18.5,15.6,18.2
Scotland,S12000039,West Dunbartonshire,21.4,18,17.1,20.1,18.1,18.9,18.6
Scotland,S12000040,West Lothian,19.2,19.1,15.1,18.3,20.1,20.3,18.9
Scotland,S12000041,Angus,21.8,17.5,16.1,15.7,17.6,16.4,15.4
Scotland,S12000042,Dundee City,25.3,23.8,20.8,21.8,19.8,16.7,17.3
Scotland,S12000045,East Dunbartonshire,9.5,7.6,8.8,8.3,8.4,8.3,6.2
Scotland,S12000047,Fife,18.6,17.3,14.7,15,13.6,17.3,15.3
Scotland,S12000048,Perth and Kinross,16,14,11.7,16.3,14.8,13.9,14.2
Scotland,S12000049,Glasgow City,23.8,23.6,22.8,20.1,18.6,21.4,20
Scotland,S12000050,North Lanarkshire,23.4,19.2,20.9,19.6,18,21.5,24.3
Wales,W06000001,Isle of Anglesey,18.2,17.6,17.3,14.9,14.7,10.5,13.7
Wales,W06000002,Gwynedd,17.3,18.7,16,18.6,16.6,14.5,15
Wales,W06000003,Conwy,17.5,14.8,17.1,15.1,13.6,14,14.5
Wales,W06000004,Denbighshire,16.9,16.2,18,16.2,17.8,17.9,12.3
Wales,W06000005,Flintshire,14.1,15.8,12.9,14,14.1,13.9,14.3
Wales,W06000006,Wrexham,21.9,18.9,17,16.2,17.2,17.6,13.8
Wales,W06000008,Ceredigion,16.9,16.5,17,14.9,14,16.9,16.6
Wales,W06000009,Pembrokeshire,15.7,13.7,16.1,15.1,16.2,16.2,12.4
Wales,W06000010,Carmarthenshire,18.1,15.5,15.4,15.6,14.4,12.9,14.5
Wales,W06000011,Swansea,18.8,16.8,14.8,17,16,15.7,14.8
Wales,W06000012,Neath Port Talbot,20.4,15.7,19.2,16.2,17.5,16.9,14.2
Wales,W06000013,Bridgend,17.1,18.7,17.7,15.5,16.5,14.9,14.2
Wales,W06000014,Vale of Glamorgan,14.9,16.9,14.6,14.8,11.1,7.9,13
Wales,W06000015,Cardiff,19.1,13.7,14.7,15.1,14.4,15.6,13
Wales,W06000016,Rhondda Cynon Taf,18.3,19.7,16.8,15.9,17.8,15.8,10.7
Wales,W06000018,Caerphilly,20.8,20.6,18,17.6,17.1,17.1,15.9
Wales,W06000019,Blaenau Gwent,22.5,21.2,19.9,21.1,19.6,18,19.2
Wales,W06000020,Torfaen,21.8,18.8,16.4,16.1,18.8,15.2,16.6
Wales,W06000021,Monmouthshire,14.4,13,10.5,11.1,9.7,8,10.3
Wales,W06000022,Newport,18.5,19.4,16.8,18.4,15.9,19.7,15.2
Wales,W06000023,Powys,13.4,15.4,14.1,13.8,12.9,14.2,15.5
Wales,W06000024,Merthyr Tydfil,23.5,19.7,22.3,19.2,17.3,15.4,18.5
Northern Ireland,N09000001,Antrim and Newtownabbey,18.6,22.4,14.3,14,11.2,13,8.2
Northern Ireland,N09000002,"Armagh City, Banbridge and Craigavon",23.3,22.4,16.9,14.4,15.2,12.9,13.8
Northern Ireland,N09000003,Belfast,23.1,20.2,24.1,18.3,20.6,17.4,19.2
Northern Ireland,N09000004,Causeway Coast and Glens,16,17.3,13.4,13.5,16.5,21.4,15.5
Northern Ireland,N09000005,Derry City and Strabane,20.5,16.1,19.5,19.9,16,16,14.6
Northern Ireland,N09000006,Fermanagh and Omagh,14.5,18.1,14.5,18.8,14.9,11.3,16.4
Northern Ireland,N09000007,Lisburn and Castlereagh,14.1,14.4,10.3,12,11,8.4,9.9
Northern Ireland,N09000008,Mid and East Antrim,15.9,14.8,8.5,15.9,17.5,16.5,12.2
Northern Ireland,N09000009,Mid Ulster,24.5,20.6,18.6,14.9,13.8,12.9,10.4
Northern Ireland,N09000010,"Newry, Mourne and Down",17.6,15.9,16.8,15.1,15.3,13,11.2
Northern Ireland,N09000011,Ards and North Down,13.8,13.3,14.1,11.9,13.1,15.3,14.7
