code,area,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000015,Harrow,1.625391710033866,1.4128909143555533,1.4030789145208267,1.4663851023541394,1.1480154919513759,0.9492878641816017,0.9292884691633925,1.6039474929966528,1.8712980003402362,1.2297913954025732,2.111485574753714,2.9352551074184126,2.9422003734452966,3.012864268836965,3.099643311570472
E09000016,Havering,2.8426446222257975,2.537315232218539,2.406638167446362,2.3257823268673574,1.8884175061298631,1.4390821699012035,1.3319855846057145,1.2244104060296621,1.3777003699613048,1.5628930032697872,1.5903992864643586,1.9222659478104323,1.8337603348442615,1.7773672572564168,2.023999778293041
E09000017,Hillingdon,1.863927464261766,1.775716735502258,1.6072064442241618,1.5142637558306762,1.6052310877570006,1.2831018918552297,1.2904427906770812,1.645040645945921,1.8602653483217741,2.007354617095088,1.8298074840102703,1.8826668902115293,1.3639433985139513,1.3078297930844849,1.4099181034850852
E09000018,Hounslow,1.5647277100009898,1.6695726895032785,1.2013375717293482,1.0144093162042687,1.8181485390749406,2.2647959116910776,1.0943149588357688,0.8357995865617704,0.7175335717248524,0.7351848596593287,1.8976529934902084,2.6791562396336572,3.34865397242285,3.0754528078638392,3.2238902689275295
E09000019,Islington,2.2595911195957235,1.9314501348380646,1.9107688496159883,1.6362914796837318,1.5900971166909879,1.9666015101753271,2.938219523734427,1.377389000370161,1.5081105625706475,1.8347124912300936,1.8974700399467377,2.2428162003167658,2.2909689610656887,2.1349727539471846,2.0770715054361943
E09000020,Kensington and Chelsea,3.375413647835785,3.134870210238059,3.094412604070851,3.567036394127512,2.9482268336819346,2.6454317043738818,2.4704297050456656,2.3624167225191472,2.415888543056173,2.1743447743663364,2.3407242995945916,3.1004786842090457,3.383429154198747,3.5743043750559185,3.4674605032834953
E09000021,Kingston upon Thames,3.2383280130764422,3.2602817178396712,2.153440289579435,1.8017302111493327,1.521585495132145,1.9929836056622574,1.8142868318279468,2.2824514997789485,2.309944400175484,2.513134473513199,2.473333451392209,2.652399661358456,2.684183784568484,2.811018614868771,2.850934001093745
E09000022,Lambeth,3.0149510012452723,3.2834564310588954,2.716071793242722,2.547232594973511,1.6338918408365526,1.49436899623419,1.443794817797469,1.042504028348035,1.2309151039851947,1.3467747565052395,1.2906765546405021,1.5883404910958445,2.472491820969736,2.363513725276447,2.412755756863757
E09000023,Lewisham,1.9164878521492352,2.177649938485676,2.0016829436213888,1.8928080853905964,1.5650564378852732,1.5050667847754498,1.7243890597184013,1.7412885695019131,1.9385699899295066,1.9230092199608042,1.803469634909248,2.2612059001911042,2.4640172838754832,2.157149681166453,1.8074385667594721
E09000024,Merton,2.1591716677195194,2.0797620870733646,2.0378403094452477,2.1523363580506576,1.4501124751104644,1.599023881258254,1.5021371478877474,1.4194218452483987,1.7032218885362254,1.6809863981163549,1.7530227354644223,2.1895337724817163,2.6401763965690406,2.776921055938225,2.895161107200436
