Country,Year,Value
New Zealand,2012,61.46999375
New Zealand,2013,54.35086557
New Zealand,2014,62.96813413
New Zealand,2015,62.09076864
New Zealand,2016,56.96901421
New Zealand,2017,60.90154695
New Zealand,2018,64.24612474
New Zealand,2019,67.5200841
New Zealand,2020,62.8641075
New Zealand,2021,63.48978275
Norway,2006,68.27172215
Norway,2008,54.07600064
Norway,2012,66.33405052
Norway,2014,69.96905072
Norway,2015,58.68716166
Norway,2016,65.76462602
Norway,2017,71.71597754
Norway,2018,67.95029833
Norway,2019,59.79870063
Norway,2020,82.92342108
Norway,2021,77.35231978
Poland,2006,6.876873765
Poland,2007,18.78834774
Poland,2008,28.451151
Poland,2009,31.19958806
Poland,2010,35.56062368
Poland,2011,27.23761715
Poland,2012,26.86287528
Poland,2013,16.35881353
Poland,2014,25.25228452
Poland,2015,21.14279173
Poland,2016,38.27131909
Poland,2017,50.2480449
Poland,2018,42.75177053
Poland,2019,49.79860284
Poland,2020,27.31166103
Poland,2021,25.92516514
Slovak Republic,2006,16.30792389
Slovak Republic,2010,30.86795325
Slovak Republic,2011,27.87238997
Slovak Republic,2012,36.83801701
Slovak Republic,2013,28.34932292
Slovak Republic,2014,31.01814847
Slovak Republic,2015,27.65306708
Slovak Republic,2016,37.22221442
Slovak Republic,2017,34.16800883
Slovak Republic,2018,32.76586106
Slovak Republic,2019,23.09728328
Slovak Republic,2020,30.7444519
Slovak Republic,2021,21.58075815
Spain,2006,52.78457408
Spain,2007,47.6248929
Spain,2008,57.97604346
Spain,2009,42.43620479
Spain,2010,30.27315905
Spain,2011,30.86627226
Spain,2012,33.91465402
Spain,2013,18.45496612
Spain,2014,21.06198134
Spain,2015,27.77513276
Spain,2016,30.25166703
Spain,2017,26.958596
Spain,2018,28.51956254
Spain,2019,36.77858646
Spain,2020,38.17671009
Spain,2021,37.17038148
Sweden,2006,44.08485623
Sweden,2007,56.20640542
Sweden,2008,51.7427458
Sweden,2009,59.03376248
Sweden,2010,60.28512342
Sweden,2011,63.8707521
Sweden,2012,62.64972338
Sweden,2013,57.98550545
Sweden,2014,56.32720639
Sweden,2015,49.93020278
Sweden,2016,48.57913233
Sweden,2017,55.94619711
Sweden,2018,49.43962459
Sweden,2019,51.32817543
Sweden,2020,67.10786475
Sweden,2021,63.35360826
Switzerland,2006,63.15935271
Switzerland,2009,57.79884854
Switzerland,2012,76.99401877
Switzerland,2014,75.16313013
Switzerland,2015,78.77300093
Switzerland,2016,79.85367032
Switzerland,2017,81.9706763
Switzerland,2018,84.99794672
Switzerland,2019,80.6612709
Switzerland,2020,84.63307074
Switzerland,2021,83.7848093
Turkey,2006,59.577364
Turkey,2007,55.78778398
Turkey,2008,59.76229946
Turkey,2010,54.5994287
Turkey,2011,59.62018162
Turkey,2012,53.09996789
Turkey,2013,53.83117835
Turkey,2014,55.64782959
Turkey,2015,48.60846405
Turkey,2016,58.37282299
Turkey,2017,58.61612386
Turkey,2018,51.36770545
Turkey,2019,56.12609072
Turkey,2020,55.32621591
Turkey,2021,42.60143695
United Kingdom,2006,49.47495658
United Kingdom,2007,36.36376452
United Kingdom,2008,32.41657342
United Kingdom,2009,38.40665597
United Kingdom,2010,50.35112367
United Kingdom,2011,46.78900203
United Kingdom,2012,42.12621718
United Kingdom,2013,37.92316332
United Kingdom,2014,42.2672083
United Kingdom,2015,45.68117001
United Kingdom,2016,40.86320654
United Kingdom,2017,44.01208403
United Kingdom,2018,42.08598609
United Kingdom,2019,34.08288625
United Kingdom,2020,34.69728444
United Kingdom,2021,39.47539879
United States,2006,55.80288463
United States,2007,39.32454572
United States,2008,37.92206006
United States,2009,50.30473143
United States,2010,41.82758222
United States,2011,38.25315979
United States,2012,34.88556076
United States,2013,28.86474991
United States,2014,34.86712004
United States,2015,34.69364628
United States,2016,29.72056612
United States,2017,38.65350168
United States,2018,31.38160892
United States,2019,36.27744401
United States,2020,46.49170905
United States,2021,40.46252204
Brazil ,2006,34.06247401
Brazil ,2007,38.34596013
Brazil ,2008,51.10100576
Brazil ,2009,42.71785381
Brazil ,2010,51.12666365
Brazil ,2011,50.28913817
Brazil ,2012,45.59347248
Brazil ,2013,33.37258
Brazil ,2014,35.52286873
Brazil ,2015,19.85347826
Brazil ,2016,26.41402573
Brazil ,2017,16.54902662
Brazil ,2018,16.81866526
Brazil ,2019,34.08500873
Brazil ,2020,36.22924008
Brazil ,2021,32.70992839
Chile,2006,58.10122784
Chile,2007,42.64205454
Chile,2008,40.52524602
Chile,2009,57.52842946
Chile,2010,47.87056126
Chile,2011,32.28673432
Chile,2012,34.32677853
Chile,2013,30.72685008
Chile,2014,39.95300126
Chile,2015,30.04925327
Chile,2016,20.35388648
Chile,2017,26.82833161
Chile,2018,33.47441676
Chile,2019,15.25234503
Chile,2020,17.14637883
Chile,2021,23.21448042
Lithuania,2006,20.56023666
Lithuania,2007,26.92929987
Lithuania,2008,16.11058434
Lithuania,2009,12.61422291
Lithuania,2010,11.45032684
Lithuania,2011,18.10865705
Lithuania,2012,14.57295457
Lithuania,2013,38.42382754
Lithuania,2014,34.46571578
Lithuania,2015,36.70345402
Lithuania,2016,27.96385699
Lithuania,2017,32.12472715
Lithuania,2018,32.37580953
Lithuania,2019,40.72484594
Lithuania,2020,47.40453304
Lithuania,2021,30.38304456
Russia,2006,37.00398705
Russia,2007,37.41158496
Russia,2008,55.75502361
Russia,2009,54.97654313
Russia,2010,51.49948314
Russia,2011,47.95745101
Russia,2012,45.200172
Russia,2013,38.83033819
Russia,2014,64.01660269
Russia,2015,64.92330929
Russia,2016,58.43038013
Russia,2017,55.65972258
Russia,2018,45.58387542
Russia,2019,43.69638396
Russia,2020,47.7703668
Russia,2021,45.69920853
South Africa,2006,60.23371817
South Africa,2007,65.90125087
South Africa,2008,46.14423769
South Africa,2009,52.24214893
South Africa,2010,59.39644513
South Africa,2011,62.74959239
South Africa,2012,42.58774608
South Africa,2013,51.03553421
South Africa,2014,48.79976814
South Africa,2015,58.3995686
South Africa,2016,48.31222806
South Africa,2017,42.32742159
South Africa,2018,52.46858244
South Africa,2019,49.59063199
South Africa,2020,51.76066865
South Africa,2021,50.89615052
