,Date,Date_Fraction,P,D,E,CPI,Rate GS10,Price_real,Dividend_real,Earnings_real,PE_ratio,Date_iso
86,1878.03,1878.208333,3.24,0.1875,0.3025,8.94367438,4.32,117.6180209,6.806598431,10.98131213,10.7107438,1878-03-01
87,1878.04,1878.291667,3.33,0.1867,0.3033,8.848509091,4.31,122.1853025,6.850449243,11.12876944,10.97922849,1878-04-01
88,1878.05,1878.375,3.34,0.1858,0.3042,8.563094215,4.3,126.6369904,7.044656532,11.5338241,10.97961867,1878-05-01
89,1878.06,1878.458333,3.41,0.185,0.305,8.372844628,4.29,132.2288385,7.173705314,11.82691957,11.18032787,1878-06-01
90,1878.07,1878.541667,3.48,0.1842,0.3058,8.467928926,4.28,133.4279692,7.062480439,11.72479109,11.37998692,1878-07-01
91,1878.08,1878.625,3.45,0.1833,0.3067,8.563094215,4.27,130.8076697,6.949868366,11.62861226,11.24877731,1878-08-01
92,1878.09,1878.708333,3.52,0.1825,0.3075,8.563094215,4.26,133.4617384,6.919536153,11.65894448,11.44715447,1878-09-01
93,1878.1,1878.791667,3.48,0.1817,0.3083,8.467928926,4.25,133.4279692,6.966627013,11.82064451,11.28770678,1878-01-01
94,1878.11,1878.875,3.47,0.1808,0.3092,8.372844628,4.24,134.5554456,7.010842815,11.98978207,11.2225097,1878-11-01
95,1878.12,1878.958333,3.45,0.18,0.31,8.18251405,4.23,136.8917173,7.142176554,12.30041518,11.12903226,1878-12-01
96,1879.01,1879.041667,3.58,0.1817,0.3158,8.277679339,4.22,140.4168623,7.126744101,12.38649305,11.33628879,1879-01-01
97,1879.02,1879.125,3.71,0.1833,0.3217,8.372844628,4.203333333,143.8618741,7.107784779,12.47449189,11.53248368,1879-02-01
98,1879.03,1879.208333,3.65,0.185,0.3275,8.277679339,4.186666667,143.1624434,7.256178639,12.84539732,11.14503817,1879-03-01
99,1879.04,1879.291667,3.77,0.1867,0.3333,8.18251405,4.17,149.58892,7.408024237,13.22493025,11.31113111,1879-04-01
100,1879.05,1879.375,3.94,0.1883,0.3392,8.18251405,4.153333333,156.334309,7.471510251,13.45903493,11.61556604,1879-05-01
101,1879.06,1879.458333,3.96,0.19,0.345,8.087381157,4.136666667,158.9761995,7.627645934,13.8501992,11.47826087,1879-06-01
102,1879.07,1879.541667,4.04,0.1917,0.3508,8.18251405,4.12,160.3021849,7.60641803,13.91930853,11.51653364,1879-07-01
103,1879.08,1879.625,4.07,0.1933,0.3567,8.18251405,4.103333333,161.4925476,7.669904044,14.1534132,11.41014858,1879-08-01
104,1879.09,1879.708333,4.22,0.195,0.3625,8.467928926,4.086666667,161.8005834,7.47656724,13.89874679,11.64137931,1879-09-01
105,1879.1,1879.791667,4.68,0.1967,0.3683,8.94367438,4.07,169.8926968,7.140575527,13.36997441,12.70703231,1879-01-01
106,1879.11,1879.875,4.93,0.1983,0.3742,9.419419835,4.053333333,169.9290389,6.835076759,12.89806214,13.17477285,1879-11-01
107,1879.12,1879.958333,4.92,0.2,0.38,9.704834711,4.036666667,164.5969548,6.690933121,12.71277293,12.94736842,1879-12-01
108,1880.01,1880.041667,5.11,0.205,0.3892,9.990330579,4.02,166.0679701,6.662217979,12.64846457,13.1294964,1880-01-01
109,1880.02,1880.125,5.2,0.21,0.3983,9.990330579,3.993333333,168.9928463,6.8247111,12.94420205,13.05548581,1880-02-01
110,1880.03,1880.208333,5.3,0.215,0.4075,10.08541488,3.966666667,170.6188214,6.921329547,13.11833391,13.00613497,1880-03-01
111,1880.04,1880.291667,5.18,0.22,0.4167,9.704834711,3.94,173.2951678,7.360026433,13.94055916,12.43100552,1880-04-01
112,1880.05,1880.375,4.77,0.225,0.4258,9.419419835,3.913333333,164.4141006,7.755382102,14.67662977,11.20244246,1880-05-01
113,1880.06,1880.458333,4.79,0.23,0.435,9.229089256,3.886666667,168.5083801,8.091216579,15.3029531,11.01149425,1880-06-01
114,1880.07,1880.541667,5.01,0.235,0.4442,9.229089256,3.86,176.2478046,8.267112592,15.62660176,11.27870329,1880-07-01
115,1880.08,1880.625,5.19,0.24,0.4533,9.229089256,3.833333333,182.5800611,8.443008604,15.9467325,11.44937128,1880-08-01
116,1880.09,1880.708333,5.18,0.245,0.4625,9.324254545,3.806666667,180.3684093,8.530938277,16.10432226,11.2,1880-09-01
117,1880.1,1880.791667,5.33,0.25,0.4717,9.324254545,3.78,185.5914327,8.705039058,16.42466769,11.2995548,1880-01-01
118,1880.11,1880.875,5.61,0.255,0.4808,9.419419835,3.753333333,193.3675271,8.789433049,16.57238984,11.66805324,1880-11-01
119,1880.12,1880.958333,5.84,0.26,0.49,9.514585124,3.726666667,199.2818873,8.872138816,16.72056931,11.91836735,1880-12-01
120,1881.01,1881.041667,6.19,0.265,0.4858,9.419419835,3.7,213.3591787,9.134116698,16.74473167,12.74186908,1881-01-01
121,1881.02,1881.125,6.17,0.27,0.4817,9.514585124,3.693333333,210.5426788,9.213374925,16.43734334,12.80880216,1881-02-01
122,1881.03,1881.208333,6.24,0.275,0.4775,9.514585124,3.686666667,212.9313316,9.383992979,16.29402417,13.06806283,1881-03-01
123,1881.04,1881.291667,6.22,0.28,0.4733,9.609669421,3.68,210.1487316,9.460071519,15.99089946,13.14177055,1881-04-01
124,1881.05,1881.375,6.5,0.285,0.4692,9.514585124,3.673333333,221.8034704,9.725229087,16.0107982,13.85336743,1881-05-01
125,1881.06,1881.458333,6.58,0.29,0.465,9.514585124,3.666666667,224.5333593,9.895847141,15.86747904,14.15053763,1881-06-01
126,1881.07,1881.541667,6.35,0.295,0.4608,9.609669421,3.66,214.5409077,9.966861065,15.56857484,13.78038194,1881-07-01
127,1881.08,1881.625,6.2,0.3,0.4567,9.8,3.653333333,205.4047347,9.938938776,15.1303778,13.57565141,1881-08-01
128,1881.09,1881.708333,6.25,0.305,0.4525,10.18058017,3.646666667,199.3206641,9.726848406,14.43081608,13.8121547,1881-09-01
129,1881.1,1881.791667,6.15,0.31,0.4483,10.27574545,3.64,194.3151287,9.794746327,14.16446703,13.71849208,1881-01-01
130,1881.11,1881.875,6.19,0.315,0.4442,10.18058017,3.633333333,197.4071857,10.04576147,14.16611824,13.93516434,1881-11-01
131,1881.12,1881.958333,6.01,0.32,0.44,10.18058017,3.626666667,191.6667506,10.205218,14.03217475,13.65909091,1881-12-01
132,1882.01,1882.041667,5.92,0.32,0.4392,10.18058017,3.62,188.796533,10.205218,14.0066617,13.47905282,1882-01-01
133,1882.02,1882.125,5.79,0.32,0.4383,10.27574545,3.620833333,182.9405846,10.11070589,13.84850747,13.21013005,1882-02-01
134,1882.03,1882.208333,5.78,0.32,0.4375,10.27574545,3.621666667,182.6246251,10.11070589,13.8232307,13.21142857,1882-03-01
135,1882.04,1882.291667,5.78,0.32,0.4367,10.37091074,3.6225,180.9488296,10.01792828,13.6713415,13.23563087,1882-04-01
136,1882.05,1882.375,5.71,0.32,0.4358,10.46599504,3.623333333,177.1333842,9.926914699,13.51921696,13.10234052,1882-05-01
137,1882.06,1882.458333,5.68,0.32,0.435,10.56116033,3.624166667,174.6149952,9.837464517,13.37280333,13.05747126,1882-06-01
138,1882.07,1882.541667,6,0.32,0.4342,10.46599504,3.625,186.1296506,9.926914699,13.46958238,13.81851681,1882-07-01
139,1882.08,1882.625,6.18,0.32,0.4333,10.56116033,3.625833333,189.9860335,9.837464517,13.3205418,14.26263559,1882-08-01
140,1882.09,1882.708333,6.24,0.32,0.4325,10.27574545,3.626666667,197.1587648,10.11070589,13.66525092,14.42774566,1882-09-01
141,1882.1,1882.791667,6.07,0.32,0.4317,10.18058017,3.6275,193.5802289,10.205218,13.76747691,14.06069029,1882-01-01
142,1882.11,1882.875,5.81,0.32,0.4308,10.08541488,3.628333333,187.0368589,10.30151374,13.86841288,13.48653668,1882-11-01
143,1882.12,1882.958333,5.84,0.32,0.43,9.990330579,3.629166667,189.7919658,10.39955977,13.97440844,13.58139535,1882-12-01
144,1883.01,1883.041667,5.81,0.3208,0.4275,9.990330579,3.63,188.8170071,10.42555867,13.89316188,13.59064327,1883-01-01
145,1883.02,1883.125,5.68,0.3217,0.425,10.08541488,3.629166667,182.851869,10.35624054,13.68169794,13.36470588,1883-02-01
146,1883.03,1883.208333,5.75,0.3225,0.4225,9.990330579,3.628333333,186.8670897,10.48080633,13.73066876,13.60946746,1883-03-01
147,1883.04,1883.291667,5.87,0.3233,0.42,9.895165289,3.6275,192.6015973,10.60785288,13.7806935,13.97619048,1883-04-01
148,1883.05,1883.375,5.77,0.3242,0.4175,9.8,3.626666667,191.1589224,10.74067984,13.8316898,13.82035928,1883-05-01
149,1883.06,1883.458333,5.82,0.325,0.415,9.514585124,3.625833333,198.599415,11.09017352,14.1612985,14.02409639,1883-06-01
150,1883.07,1883.541667,5.73,0.3258,0.4125,9.324254545,3.625,199.5194952,11.3444069,14.36331445,13.89090909,1883-07-01
151,1883.08,1883.625,5.47,0.3267,0.41,9.324254545,3.624166667,190.4662546,11.37574504,14.27626405,13.34146341,1883-08-01
